위도,경도
37.250265,126.785116
37.250032,126.792299
37.250024,126.792041
37.250176,126.791953
37.250169,126.791711
37.250017,126.791781
37.250152,126.790729
37.250218,126.793186
37.250199,126.792698
37.250171,126.790263
37.250013,126.794541
37.250071,126.793331
37.250059,126.793074
37.250051,126.792815
37.250041,126.792557
37.250261,126.794874
37.250242,126.794537
37.250241,126.794201
37.250239,126.793923
37.250228,126.793432
37.250234,126.793685
37.250168,126.790023
37.250191,126.792444
37.250183,126.792202
37.250011,126.791522
37.250005,126.791263
37.250162,126.791465
37.250157,126.791211
37.250152,126.790946
37.250173,126.790488
37.250209,126.792939
37.250031,126.794877
37.225141,126.699642
37.225548,126.699938
37.225327,126.699952
37.249122,126.719671
37.225982,126.702032
37.227765,126.700445
37.226184,126.700092
37.226265,126.701757
37.227031,126.700496
37.225885,126.700154
37.227486,126.700635
37.227224,126.700458
37.226751,126.700218
37.226811,126.701238
37.226549,126.701505
37.227504,126.700846
37.227273,126.700767
37.227061,126.701017
37.226453,126.700272
37.231837,126.742911
37.231761,126.748471
37.231745,126.745454
37.249229,126.749332
37.249244,126.746026
37.249306,126.745017
37.249605,126.745041
37.249504,126.747054
37.249211,126.746705
37.249519,126.746378
37.249231,126.746367
37.249221,126.745752
37.249601,126.742571
37.249733,126.741809
37.249664,126.742185
37.249949,126.742246
37.249256,126.745772
37.249281,126.745354
37.249195,126.748387
37.249259,126.749963
37.249565,126.749562
37.249532,126.748804
37.249524,126.748601
37.249491,126.745703
37.249549,126.745703
37.249569,126.745375
37.249502,126.747731
37.249181,126.747717
37.249501,126.747393
37.249179,126.747379
37.248674,126.745937
37.248544,126.745831
37.249241,126.748681
37.248641,126.747713
37.248841,126.747084
37.249486,126.743338
37.248981,126.748885
37.249334,126.744681
37.249367,126.744344
37.249402,126.744007
37.249728,126.744037
37.249027,126.745887
37.248793,126.748641
37.248613,126.748055
37.248473,126.746033
37.234958,126.733406
37.232293,126.741616
37.231514,126.745511
37.231799,126.745685
37.231572,126.745726
37.249555,126.749334
37.249768,126.743701
37.249509,126.746716
37.249187,126.747042
37.249884,126.742634
37.249823,126.743019
37.249539,126.742959
37.249087,126.748662
37.248947,126.746092
37.249244,126.748834
37.249516,126.748398
37.249507,126.748059
37.249185,126.748049
37.249243,126.749569
37.249581,126.749956
37.249532,126.746041
37.248337,126.745928
37.249757,126.745654
37.249544,126.749074
37.248737,126.747399
37.248941,126.746773
37.248989,126.746422
37.249821,126.743366
37.249441,126.743683
37.249652,126.744706
37.249692,126.744371
37.248906,126.745591
37.248862,126.745949
37.248734,126.745751
37.248658,126.748345
37.249141,126.749098
37.248096,126.746058
37.247765,126.746161
37.247466,126.746224
37.247128,126.746275
37.246818,126.746231
37.246249,126.745891
37.246525,126.746102
37.246001,126.745644
37.245669,126.745389
37.231896,126.745509
37.249994,126.745482
37.220296,126.694061
37.220449,126.694652
37.220038,126.694151
37.220359,126.694966
37.220377,126.694338
37.223011,126.698379
37.224176,126.699146
37.220362,126.697807
37.220141,126.698041
37.220099,126.699902
37.221981,126.697949
37.220836,126.698024
37.220408,126.696126
37.220431,126.695286
37.221659,126.698238
37.221921,126.698185
37.220351,126.699812
37.221431,126.699196
37.220997,126.698218
37.223421,126.698741
37.224418,126.699329
37.224909,126.699569
37.224701,126.699296
37.223687,126.698832
37.222882,126.698081
37.222159,126.697789
37.220513,126.698011
37.221094,126.699945
37.221321,126.698232
37.220672,126.698204
37.220187,126.696208
37.220296,126.696858
37.220271,126.697488
37.222658,126.697812
37.221487,126.698049
37.221164,126.698038
37.220379,126.697173
37.220414,126.695916
37.220602,126.699924
37.221521,126.698906
37.222465,126.697829
37.222305,126.697584
37.220858,126.699833
37.221361,126.699849
37.221422,126.699536
37.221449,126.698589
37.220348,126.698189
37.222692,126.698091
37.223851,126.699117
37.223262,126.698444
37.222429,126.697447
37.221754,126.698043
37.220396,126.696546
37.221536,126.698374
37.222191,126.697998
37.220021,126.696099
37.220322,126.695596
37.220293,126.696367
37.219731,126.693943
37.216008,126.693975
37.216224,126.693848
37.218651,126.694091
37.219431,126.694125
37.219793,126.694038
37.218787,126.693994
37.217992,126.693958
37.216422,126.693741
37.216431,126.693419
37.216449,126.692791
37.215101,126.693117
37.215094,126.693351
37.215084,126.693738
37.215514,126.693986
37.219299,126.694017
37.216441,126.693105
37.215088,126.694084
37.217783,126.694085
37.218035,126.694808
37.217027,126.694018
37.217532,126.694061
37.217963,126.694489
37.216034,126.692597
37.215782,126.692587
37.215286,126.692566
37.215147,126.691483
37.215121,126.692441
37.215135,126.691896
37.219869,126.693835
37.215769,126.693858
37.215302,126.693842
37.217283,126.693928
37.216761,126.693874
37.215111,126.692803
37.215071,126.694701
37.215161,126.694387
37.219038,126.694107
37.218292,126.693972
37.218052,126.694237
37.216522,126.693996
37.216292,126.692609
37.215529,126.692576
37.215129,126.692123
37.218874,126.698121
37.216182,126.696031
37.215084,126.697076
37.215143,126.695018
37.215152,126.695651
37.215134,126.696281
37.215094,126.696779
