학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000003792,동곡초등학교,초등학교,1984-09-07,공립,본교,운영,경기도 부천시 원미구 역곡동 227,경기도 부천시 원미구 안곡로 248,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2025-07-01,37.4905942551,126.8167892507,2025-09-22
B000004529,덕은초등학교,초등학교,1936-04-18,공립,본교,운영,경기도 고양시 덕양구 화전동 274-6,경기도 고양시 덕양구 중앙로176번길 18-4,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6031621200,126.8717937994,2025-09-22
B000012565,장곡고등학교,고등학교,2000-01-08,공립,본교,운영,경기도 시흥시 장곡동 799,경기도 시흥시 장곡로70번길 8,7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2025-07-01,37.3801517171,126.7819752763,2025-09-22
B000009136,천천중학교,중학교,2002-01-10,공립,본교,운영,경기도 수원시 장안구 천천동 510,경기도 수원시 장안구 정자로42번길 16,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.3002669660,126.9810736937,2025-09-22
B000009571,일산양일중학교,중학교,2010-10-02,공립,본교,운영,경기도 고양시 일산동구 식사동 1554,경기도 고양시 일산동구 위시티3로 47,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6767759216,126.8154824639,2025-09-22
B000004757,남면초등학교,초등학교,1921-08-20,공립,본교,운영,경기도 양주시 남면 신산리 286-2,경기도 양주시 남면 개나리18길 100,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2025-07-01,37.8945577680,126.9749394878,2025-09-22
B000004617,내양초등학교,초등학교,1972-09-23,공립,본교,운영,경기도 구리시 사노동 393-2,경기도 구리시 동구릉로 485,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6405980564,127.1393167882,2025-09-22
B000004600,남양주월문초등학교,초등학교,1975-03-01,공립,본교,운영,경기도 남양주시 와부읍 월문리 269-1,경기도 남양주시 와부읍 수레로 519,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6094966430,127.2616045686,2025-09-22
B000004594,남양주양지초등학교,초등학교,1998-09-01,공립,본교,운영,경기도 남양주시 오남읍 양지리 74,경기도 남양주시 오남읍 진건오남로808번길 20-37,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6990919478,127.2065395053,2025-09-22
B000023876,위례중앙중학교,중학교,2016-05-09,공립,본교,운영,경기도 성남시 수정구 창곡동 503,경기도 성남시 수정구 위례순환로 91,7530000,경기도교육청,7551000,경기도성남교육지원청,2013-11-29,2025-07-01,37.4718702444,127.1381839404,2025-09-22
B000026563,백운호수초등학교,초등학교,2019-03-01,공립,본교,운영,경기도 의왕시 학의동 산 100-37,경기도 의왕시 백운중앙로 67,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2025-07-01,37.3709216918,127.0073992643,2025-09-22
B000030436,새봄초등학교,초등학교,2021-03-01,공립,본교,운영,경기도 화성시 병점동 756-263,경기도 화성시 병점노을로 19,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.2012901061,127.0298465979,2025-09-22
B000004564,남양주신촌초등학교,초등학교,2005-05-06,공립,본교,운영,경기도 남양주시 평내동 600,경기도 남양주시 평내로 122,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6454954448,127.2398387754,2025-09-22
B000030422,복사초등학교,초등학교,1989-09-01,공립,본교,운영,경기도 부천시 소사구 계수동 1,경기도 부천시 소사구 은성로 210,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2025-07-01,37.4673059606,126.8079545736,2025-09-22
